request_time,wait_time,pick_index,drop_index,order_distance,order_fare,n_riders
68400,240,140,141,1384.0,5.0,1
68400,360,234,249,2060.0,8.0,1
68400,180,249,68,2269.0,11.0,1
68400,240,161,224,3862.0,13.0,1
68400,420,230,142,1432.0,8.0,1
68400,300,79,246,3895.0,12.0,1
68400,360,48,239,2076.0,8.0,1
68400,480,234,246,2462.0,10.0,1
68400,360,13,68,3975.0,12.0,1
68400,360,43,161,982.0,7.0,1
68401,360,263,262,1674.0,6.0,1
68401,180,236,263,418.0,4.0,1
68401,180,233,262,4474.0,12.0,1
68401,300,113,100,1770.0,9.0,1
68402,420,43,100,4667.0,18.0,1
68402,180,238,237,3750.0,11.0,1
68402,240,90,249,805.0,4.0,1
68402,360,186,50,2253.0,11.0,1
68402,240,164,162,1899.0,8.0,1
68402,420,246,144,4828.0,14.0,1
68403,360,237,142,2044.0,8.0,1
68403,300,48,50,805.0,6.0,1
68404,180,68,48,322.0,4.0,1
68404,420,140,143,4313.0,13.0,1
68404,480,234,170,2414.0,9.0,1
68404,240,74,75,1513.0,4.0,1
68405,300,263,74,3380.0,8.0,1
68405,240,236,262,1593.0,6.0,1
68406,180,163,43,1609.0,7.0,1
68406,480,125,246,4233.0,14.0,1
68406,420,163,263,3862.0,13.0,1
68406,240,164,141,3492.0,11.0,1
68407,180,114,137,2736.0,9.0,1
68407,420,229,75,4989.0,12.0,1
68408,180,234,107,1770.0,7.0,1
68408,180,161,229,1287.0,6.0,1
68408,420,163,237,1255.0,5.0,1
68408,300,229,79,3380.0,10.0,1
68409,180,163,43,1609.0,7.0,1
68409,240,161,234,2736.0,12.0,1
68409,360,100,233,1625.0,6.0,1
68409,180,161,68,4361.0,18.0,1
68409,360,140,233,2784.0,16.0,1
68410,360,246,13,5472.0,14.0,1
68410,360,90,170,2285.0,10.0,1
68411,240,114,144,966.0,6.0,1
68411,360,263,74,2575.0,7.0,1
68411,360,246,48,1384.0,8.0,1
68411,300,234,79,2076.0,8.0,1
68411,300,224,158,2897.0,10.0,1
68412,240,237,107,4313.0,18.0,1
68412,240,125,230,4184.0,13.0,1
68413,180,233,107,2253.0,8.0,1
68414,420,148,79,1465.0,7.0,1
68414,180,238,239,644.0,4.0,1
68414,180,166,48,5987.0,16.0,1
68414,420,263,229,3058.0,12.0,1
68414,240,68,107,3219.0,12.0,1
68414,360,90,142,3460.0,13.0,1
68415,420,113,79,1448.0,6.0,1
68415,300,144,48,6164.0,19.0,1
68415,300,41,142,4828.0,15.0,1
68415,240,237,161,1432.0,8.0,1
68415,420,231,79,5697.0,16.0,1
68416,300,162,236,2494.0,8.0,1
68416,480,229,170,1609.0,6.0,1
68417,240,229,170,2414.0,12.0,1
68417,360,4,249,2478.0,9.0,1
68417,480,234,79,1931.0,6.0,1
68417,360,170,238,6373.0,18.0,1
68418,420,162,262,4072.0,13.0,1
68418,420,170,234,1239.0,4.0,1
68418,180,90,113,1448.0,8.0,1
68418,240,140,239,3219.0,10.0,1
68419,480,236,48,4619.0,14.0,1
68420,420,239,48,1931.0,8.0,1
68420,420,237,142,2897.0,12.0,1
68420,420,79,263,5826.0,15.0,1
68420,300,261,45,1979.0,7.0,1
68420,360,163,75,4925.0,14.0,1
68421,420,238,41,3347.0,11.0,1
68421,240,229,170,2173.0,10.0,1
68421,360,161,236,4184.0,12.0,1
68422,420,234,100,1609.0,9.0,1
68422,180,148,231,1287.0,6.0,1
68422,240,161,164,1127.0,8.0,1
68423,240,158,170,4828.0,15.0,1
68423,240,48,238,3380.0,10.0,1
68424,300,237,148,8208.0,22.0,1
68424,480,125,50,5134.0,15.0,1
68424,480,142,239,1448.0,6.0,1
68424,480,186,141,4989.0,18.0,1
68424,240,164,68,3074.0,9.0,1
68424,420,148,87,6566.0,17.0,1
68425,300,234,170,1078.0,6.0,1
68425,300,125,246,2929.0,10.0,1
68425,360,144,170,3219.0,10.0,1
68426,360,90,231,4023.0,15.0,1
68426,360,163,236,3701.0,10.0,1
68426,360,41,42,1931.0,6.0,1
68426,480,237,236,966.0,4.0,1
68426,240,262,141,1786.0,10.0,1
68427,420,68,100,966.0,6.0,1
68427,240,151,166,2607.0,8.0,1
68427,420,170,162,1770.0,6.0,1
68427,420,186,209,8063.0,20.0,1
68428,180,246,50,2688.0,8.0,1
68428,420,142,243,13470.0,32.0,1
68428,420,230,186,1416.0,9.0,1
68429,420,107,162,2414.0,10.0,1
68429,480,13,79,7194.0,16.0,1
68429,420,161,233,1529.0,6.0,1
68429,300,163,48,1497.0,8.0,1
68430,420,100,232,5311.0,17.0,1
68430,180,161,234,1255.0,5.0,1
68431,360,236,68,6276.0,20.0,1
68431,480,161,113,2800.0,8.0,1
68431,240,246,142,3669.0,10.0,1
68431,420,238,239,1287.0,4.0,1
68431,420,238,142,2897.0,14.0,1
68432,360,162,237,1287.0,6.0,1
68432,480,163,238,3862.0,12.0,1
68432,360,164,107,1513.0,6.0,1
68433,240,231,79,5955.0,14.0,1
68433,420,263,237,2478.0,11.0,1
68433,420,144,113,2173.0,10.0,1
68433,240,163,140,2189.0,9.0,1
68434,420,263,236,1014.0,5.0,1
68434,300,140,229,2076.0,8.0,1
68435,240,262,237,3090.0,12.0,1
68436,420,158,79,2832.0,11.0,1
68437,240,249,246,1835.0,6.0,1
68437,240,237,236,1593.0,6.0,1
68437,180,186,234,1996.0,8.0,1
68437,300,140,74,5633.0,12.0,1
68437,420,238,234,6116.0,26.0,1
68438,360,186,13,5922.0,15.0,1
68438,420,142,239,1046.0,6.0,1
68438,360,75,236,1947.0,6.0,1
68438,360,163,43,885.0,4.0,1
68438,300,230,237,1786.0,8.0,1
68439,360,87,148,1770.0,8.0,1
68439,240,125,107,3541.0,10.0,1
68440,420,48,100,1674.0,8.0,1
68440,300,142,263,3396.0,12.0,1
68440,360,161,48,1223.0,8.0,1
68440,240,186,114,3219.0,12.0,1
68441,480,163,237,1609.0,8.0,1
68441,240,141,90,5150.0,21.0,1
68441,480,107,79,1497.0,7.0,1
68441,300,100,170,982.0,5.0,1
68441,240,229,237,998.0,6.0,1
68441,180,161,164,1094.0,6.0,1
68441,480,162,161,2736.0,14.0,1
68441,240,79,231,3074.0,12.0,1
