request_time,wait_time,pick_index,drop_index,order_distance,order_fare,n_riders
68400,240,90,141,4088.0,14.0,1
68400,420,231,13,1223.0,6.0,1
68400,360,230,238,4667.0,12.0,1
68401,360,236,230,3862.0,14.0,1
68401,360,100,79,4812.0,14.0,1
68401,180,74,41,2366.0,12.0,1
68403,480,48,142,2092.0,6.0,1
68403,420,142,239,2205.0,8.0,1
68403,180,236,239,1867.0,6.0,1
68403,240,140,13,12489.0,24.0,1
68404,360,230,161,805.0,6.0,1
68404,240,237,170,2672.0,12.0,1
68404,420,249,50,4908.0,12.0,1
68404,180,151,238,1127.0,5.0,1
68404,180,107,232,4667.0,12.0,1
68404,300,164,186,1287.0,6.0,1
68404,480,236,237,1448.0,6.0,1
68405,420,140,263,1175.0,4.0,1
68405,420,237,163,1931.0,8.0,1
68405,240,236,107,6116.0,18.0,1
68405,300,234,237,4281.0,13.0,1
68406,360,140,113,6598.0,18.0,1
68406,300,162,163,1754.0,8.0,1
68406,240,170,234,2092.0,8.0,1
68407,300,161,237,1062.0,4.0,1
68407,240,143,237,2784.0,10.0,1
68407,360,79,140,5053.0,12.0,1
68408,300,234,263,5842.0,17.0,1
68408,420,88,13,1400.0,6.0,1
68408,420,140,229,1593.0,6.0,1
68409,180,230,263,4989.0,14.0,1
68409,240,246,143,2591.0,10.0,1
68410,240,230,161,1368.0,6.0,1
68410,180,237,163,1770.0,7.0,1
68411,480,142,151,2736.0,9.0,1
68411,420,45,231,161.0,52.0,1
68411,240,230,79,5488.0,18.0,1
68411,420,239,238,805.0,4.0,1
68411,180,234,186,2060.0,10.0,1
68412,360,148,68,5086.0,20.0,1
68412,420,237,230,3235.0,14.0,1
68412,180,100,13,6663.0,19.0,1
68412,480,261,231,2092.0,8.0,1
68413,180,87,232,4731.0,11.0,1
68414,300,68,114,2173.0,9.0,1
68414,480,164,233,1513.0,6.0,1
68414,180,249,79,2784.0,9.0,1
68414,360,246,230,2092.0,10.0,1
68414,480,170,114,3508.0,12.0,1
68415,300,41,42,2478.0,8.0,1
68415,360,163,170,2253.0,10.0,1
68416,420,233,68,2478.0,12.0,1
68416,180,50,143,1770.0,5.0,1
68417,420,233,125,4683.0,23.0,1
68418,300,234,148,2575.0,8.0,1
68419,180,48,90,4023.0,15.0,1
68419,420,114,45,2060.0,9.0,1
68419,240,230,162,2205.0,8.0,1
68419,240,137,107,483.0,4.0,1
68419,360,237,74,6920.0,16.0,1
68419,300,68,45,5520.0,14.0,1
68420,300,144,231,805.0,10.0,1
68420,180,41,140,4828.0,13.0,1
68420,420,48,233,4088.0,14.0,1
68420,240,239,244,8272.0,19.0,1
68421,180,166,236,3669.0,10.0,1
68421,240,229,161,1127.0,5.0,1
68421,420,163,68,4394.0,17.0,1
68421,480,162,137,3541.0,12.0,1
68421,240,262,107,6470.0,18.0,1
68421,420,141,236,2736.0,8.0,1
68423,480,238,239,1078.0,4.0,1
68423,180,100,164,1143.0,5.0,1
68423,180,107,90,1481.0,8.0,1
68423,300,24,239,2478.0,8.0,1
68423,420,231,87,805.0,5.0,1
68423,240,90,236,6743.0,17.0,1
68423,360,162,230,966.0,7.0,1
68424,480,162,148,4168.0,12.0,1
68424,360,234,90,1609.0,6.0,1
68425,240,170,87,7580.0,18.0,1
68425,360,170,24,6920.0,18.0,1
68425,420,237,42,6920.0,16.0,1
68425,480,79,137,1609.0,6.0,1
68426,480,151,166,982.0,6.0,1
68426,420,163,231,6920.0,29.0,1
68426,240,68,246,950.0,4.0,1
68427,480,144,224,2494.0,8.0,1
68427,300,186,114,3508.0,10.0,1
68428,420,43,68,4184.0,12.0,1
68428,360,88,13,2253.0,10.0,1
68428,480,162,75,3862.0,10.0,1
68429,300,186,231,3862.0,12.0,1
68430,180,50,239,4345.0,14.0,1
68430,480,236,41,3331.0,11.0,1
68430,420,161,236,3541.0,11.0,1
68430,420,246,48,1867.0,8.0,1
68431,300,90,107,1931.0,8.0,1
68431,480,114,144,805.0,4.0,1
68431,300,48,186,1127.0,6.0,1
68432,360,43,230,3380.0,14.0,1
68432,420,246,68,1287.0,6.0,1
68433,240,237,162,1400.0,6.0,1
68433,360,246,13,6453.0,14.0,1
68433,420,164,125,3187.0,13.0,1
68433,300,234,79,2092.0,8.0,1
68433,480,231,234,4506.0,22.0,1
68434,480,237,186,4667.0,19.0,1
68434,420,163,143,2865.0,8.0,1
68435,180,229,141,2414.0,8.0,1
68435,180,142,143,998.0,5.0,1
68436,300,239,143,1979.0,8.0,1
68436,300,236,141,1593.0,7.0,1
68436,180,161,237,2012.0,8.0,1
68437,360,13,114,3380.0,12.0,1
68437,420,233,249,4506.0,14.0,1
68438,420,13,263,15128.0,28.0,1
68438,240,230,246,2205.0,12.0,1
68438,180,186,232,6260.0,14.0,1
68439,420,244,127,2897.0,10.0,1
68440,300,90,234,1094.0,4.0,1
68440,300,162,231,6180.0,21.0,1
68441,420,234,231,4715.0,14.0,1
68441,360,239,143,1239.0,6.0,1
68441,240,186,263,5778.0,16.0,1
68441,180,238,230,4104.0,12.0,1
68442,480,230,161,1271.0,8.0,1
68442,180,113,211,1658.0,6.0,1
68443,420,107,79,2688.0,8.0,1
68443,240,236,238,3219.0,11.0,1
68443,480,162,237,1336.0,6.0,1
68443,480,237,230,1931.0,9.0,1
68444,180,246,186,2092.0,8.0,1
68444,360,113,158,1706.0,9.0,1
68444,420,68,246,1287.0,6.0,1
68444,300,79,68,2462.0,11.0,1
68444,420,186,170,2527.0,10.0,1
68444,480,161,230,1851.0,10.0,1
68444,480,224,249,2285.0,10.0,1
68444,360,164,24,8111.0,20.0,1
68445,480,261,148,2768.0,10.0,1
68445,360,113,48,3541.0,16.0,1
68445,180,238,142,1690.0,6.0,1
68445,480,50,230,1658.0,7.0,1
68445,420,74,152,2350.0,10.0,1
68446,240,68,239,4377.0,12.0,1
68446,300,48,186,2334.0,12.0,1
68446,240,229,236,3203.0,10.0,1
68446,480,230,107,4394.0,15.0,1
68446,420,263,164,4104.0,13.0,1
68447,360,107,234,1287.0,8.0,1
68447,300,137,170,418.0,4.0,1
68447,240,170,230,2253.0,8.0,1
68447,240,233,237,2253.0,6.0,1
68448,300,166,236,4667.0,14.0,1
68448,420,162,164,1770.0,10.0,1
68448,240,142,48,1481.0,8.0,1
68449,300,100,230,1448.0,7.0,1
68449,480,74,164,9769.0,22.0,1
68450,420,75,116,5472.0,16.0,1
68450,240,161,237,1384.0,6.0,1
68450,420,48,68,2124.0,11.0,1
68450,480,142,238,3444.0,10.0,1
68450,360,140,141,1448.0,6.0,1
68451,180,163,143,1770.0,6.0,1
68451,240,237,141,1706.0,6.0,1
68451,180,234,127,17494.0,38.0,1
68451,180,239,230,3235.0,10.0,1
68451,300,48,142,1448.0,6.0,1
68451,420,249,141,6116.0,16.0,1
68451,480,237,236,2414.0,7.0,1
68451,360,163,186,1609.0,8.0,1
68452,240,239,151,2253.0,7.0,1
68452,360,249,79,2414.0,10.0,1
68453,180,141,88,10107.0,20.0,1
68453,420,45,230,7081.0,19.0,1
68453,240,163,162,1770.0,7.0,1
68453,360,87,170,6727.0,14.0,1
68454,180,236,263,950.0,4.0,1
68454,360,263,162,3927.0,12.0,1
68454,300,161,43,1979.0,8.0,1
68455,480,75,42,5601.0,16.0,1
68456,240,236,237,3380.0,12.0,1
68456,420,246,48,2961.0,12.0,1
68456,300,246,142,2655.0,8.0,1
68457,420,170,262,4603.0,14.0,1
68457,300,164,90,2092.0,8.0,1
68457,420,237,75,1883.0,6.0,1
68457,420,140,229,1336.0,6.0,1
68458,240,43,75,4233.0,12.0,1
68458,300,229,238,5761.0,15.0,1
68458,480,161,164,1513.0,8.0,1
68458,240,234,209,6759.0,16.0,1
68458,360,140,142,3364.0,10.0,1
68458,240,141,148,5729.0,16.0,1
68459,180,158,249,483.0,6.0,1
68459,420,238,166,2334.0,8.0,1
68459,180,100,163,1448.0,6.0,1
68459,420,186,163,2237.0,10.0,1
68460,300,162,144,5440.0,14.0,1
68460,420,234,137,1448.0,7.0,1
68460,480,48,246,1835.0,11.0,1
68460,240,170,158,4233.0,14.0,1
68460,300,262,237,1931.0,7.0,1
68460,180,231,158,2704.0,8.0,1
68461,420,239,238,1561.0,6.0,1
68461,240,261,13,1674.0,8.0,1
68462,480,68,249,2672.0,9.0,1
68462,360,144,79,2414.0,16.0,1
68462,360,161,107,2414.0,10.0,1
68462,180,230,79,5150.0,18.0,1
68463,180,48,43,1062.0,5.0,1
68463,360,141,142,2784.0,10.0,1
68463,420,48,151,4410.0,10.0,1
68464,480,50,164,2575.0,12.0,1
68464,480,48,142,2334.0,9.0,1
68465,420,163,239,3235.0,9.0,1
68465,480,249,230,3170.0,12.0,1
68465,480,230,186,2189.0,10.0,1
68465,480,161,141,1400.0,6.0,1
68466,180,237,236,2849.0,8.0,1
68466,480,140,262,1448.0,4.0,1
68467,180,68,262,7403.0,19.0,1
68467,360,43,163,1448.0,6.0,1
68467,480,231,87,1819.0,6.0,1
68467,180,230,261,8352.0,24.0,1
68467,420,234,170,1271.0,6.0,1
68468,180,162,43,2575.0,10.0,1
68468,420,161,75,4667.0,12.0,1
68468,240,239,100,3219.0,13.0,1
68468,240,48,163,966.0,6.0,1
68469,420,100,142,1931.0,8.0,1
68470,180,163,237,1062.0,6.0,1
68470,300,164,161,1609.0,6.0,1
68470,420,163,142,1287.0,6.0,1
68470,360,236,163,1770.0,8.0,1
68471,360,249,107,1465.0,7.0,1
68471,180,13,79,4506.0,15.0,1
68472,360,148,4,1931.0,6.0,1
68472,240,238,162,5601.0,18.0,1
68473,480,262,24,4474.0,13.0,1
68473,180,170,79,2317.0,7.0,1
68473,480,170,107,1561.0,6.0,1
68473,360,229,234,3187.0,10.0,1
68474,240,68,107,2253.0,8.0,1
68474,180,234,13,5552.0,17.0,1
68474,240,161,233,660.0,4.0,1
68474,360,107,224,1127.0,5.0,1
68474,240,100,246,1175.0,5.0,1
68474,480,164,79,2092.0,8.0,1
68474,360,231,186,3701.0,12.0,1
68475,180,75,141,2414.0,8.0,1
68475,420,113,75,7725.0,20.0,1
68475,240,48,68,2881.0,12.0,1
68475,180,170,234,2366.0,8.0,1
68477,300,114,148,1770.0,10.0,1
68477,180,239,43,1448.0,6.0,1
68478,480,231,246,6663.0,20.0,1
68478,360,170,141,3058.0,9.0,1
68478,300,43,41,933.0,-4.0,1
68478,480,43,41,933.0,4.0,1
68479,420,238,166,1738.0,6.0,1
68479,420,249,79,1867.0,6.0,1
68479,180,161,164,1561.0,6.0,1
68479,300,142,24,3637.0,9.0,1
68479,180,43,230,3380.0,11.0,1
68480,180,148,79,885.0,4.0,1
68480,180,48,151,3718.0,10.0,1
68480,480,75,74,2414.0,7.0,1
68480,480,142,141,2736.0,8.0,1
68481,300,113,170,2269.0,8.0,1
68481,240,231,114,3042.0,11.0,1
68481,360,143,236,3541.0,10.0,1
68481,480,41,74,1593.0,6.0,1
68481,240,231,13,772.0,6.0,1
68482,300,48,230,1690.0,8.0,1
68482,360,233,79,3283.0,10.0,1
68483,240,162,234,2897.0,11.0,1
68483,480,68,158,805.0,6.0,1
68484,420,236,141,1609.0,6.0,1
68484,420,158,224,3541.0,13.0,1
68485,480,261,211,1207.0,8.0,1
68485,360,249,50,4120.0,12.0,1
68485,300,107,186,2253.0,13.0,1
68485,480,162,230,2124.0,10.0,1
68486,480,143,246,2462.0,9.0,1
68486,240,88,45,1497.0,6.0,1
68486,240,229,239,4023.0,12.0,1
68486,360,48,246,2237.0,10.0,1
68486,420,12,230,8224.0,28.0,1
68487,300,263,142,3541.0,10.0,1
68487,480,186,246,1448.0,6.0,1
68487,480,113,234,483.0,4.0,1
68487,240,163,236,2655.0,9.0,1
68488,420,261,161,5938.0,23.0,1
68488,240,100,48,1448.0,6.0,1
68488,180,161,234,2414.0,10.0,1
68489,360,163,249,4748.0,15.0,1
68489,180,162,236,2124.0,7.0,1
68489,420,239,24,3058.0,8.0,1
68489,300,236,166,4088.0,10.0,1
68490,360,158,48,4039.0,12.0,1
68490,300,230,43,1593.0,6.0,1
68490,360,234,114,1899.0,7.0,1
68491,240,68,186,2334.0,9.0,1
68491,480,79,148,1963.0,8.0,1
68492,420,142,238,2205.0,6.0,1
68492,360,237,229,2060.0,8.0,1
68493,240,238,170,5601.0,17.0,1
68493,300,125,79,1722.0,7.0,1
68493,420,238,239,579.0,4.0,1
68493,360,237,158,6437.0,22.0,1
68494,180,107,263,5874.0,16.0,1
68494,360,246,90,644.0,8.0,1
68494,480,4,148,6212.0,15.0,1
68495,420,234,48,2913.0,12.0,1
68495,360,50,141,5311.0,14.0,1
68495,480,234,236,5713.0,16.0,1
68496,360,234,137,2462.0,8.0,1
68496,300,162,100,1867.0,18.0,1
68496,240,158,161,3814.0,14.0,1
68497,360,68,100,901.0,6.0,1
68497,300,13,114,3058.0,11.0,1
68497,240,107,141,4023.0,12.0,1
68497,420,230,151,5665.0,14.0,1
68498,420,143,233,5246.0,14.0,1
68498,420,143,142,772.0,4.0,1
68498,480,163,141,1481.0,6.0,1
68498,300,143,142,772.0,-4.0,1
68498,180,211,249,1545.0,6.0,1
68499,240,186,50,2173.0,11.0,1
68499,360,233,237,2849.0,8.0,1
68499,180,246,186,966.0,6.0,1
68499,420,163,50,1770.0,7.0,1
68500,180,261,249,3235.0,11.0,1
68500,480,164,13,6437.0,18.0,1
68500,300,79,211,2414.0,9.0,1
68500,420,163,230,1287.0,7.0,1
68500,480,249,158,966.0,5.0,1
68500,420,246,125,4345.0,14.0,1
68500,240,239,141,3122.0,10.0,1
68501,180,229,233,2623.0,8.0,1
68501,300,143,48,2736.0,10.0,1
68501,240,164,113,1931.0,6.0,1
68501,360,230,163,1529.0,6.0,1
68501,300,224,79,1770.0,6.0,1
68501,240,234,114,1287.0,5.0,1
68502,240,170,231,8948.0,22.0,1
68502,360,48,163,1127.0,6.0,1
68502,480,170,79,5472.0,16.0,1
68502,420,162,170,1110.0,6.0,1
68502,180,230,68,1448.0,8.0,1
68503,180,238,263,3299.0,10.0,1
68503,180,186,163,2494.0,10.0,1
68503,180,237,262,2993.0,8.0,1
68503,360,263,75,2414.0,7.0,1
68503,300,113,68,2237.0,12.0,1
68503,420,141,263,1931.0,6.0,1
68503,360,141,238,5359.0,16.0,1
68504,180,163,234,4136.0,14.0,1
68504,180,151,263,3911.0,11.0,1
68505,180,48,170,2881.0,13.0,1
68505,240,43,68,6003.0,18.0,1
68505,360,68,158,2398.0,8.0,1
68506,480,238,75,3138.0,10.0,1
68506,420,249,13,3042.0,9.0,1
68506,300,229,137,2044.0,8.0,1
68506,240,261,114,2832.0,16.0,1
68507,300,45,144,402.0,6.0,1
68508,420,230,142,2269.0,8.0,1
68508,360,148,90,3830.0,12.0,1
68508,420,43,239,3090.0,8.0,1
68509,360,68,48,1352.0,6.0,1
68510,300,161,141,2897.0,9.0,1
68510,300,239,263,3444.0,10.0,1
68510,360,163,237,1867.0,7.0,1
68510,420,107,148,5472.0,15.0,1
68511,240,234,114,2092.0,6.0,1
68513,420,239,142,1625.0,6.0,1
68513,180,186,137,1609.0,9.0,1
68513,480,125,249,1400.0,4.0,1
68514,300,75,161,5118.0,16.0,1
68514,480,100,170,1963.0,7.0,1
68514,240,234,90,1770.0,6.0,1
68514,480,231,113,2575.0,13.0,1
